Start: N=9, Current_CPU=1, Previous_CPU=10, Pre_N=10, Cur_Time=0.000372
Start: N=8, Current_CPU=1, Previous_CPU=101, Pre_N=9, Cur_Time=0.000637
Start: N=7, Current_CPU=1, Previous_CPU=1011, Pre_N=8, Cur_Time=0.000667
Start: N=6, Current_CPU=1, Previous_CPU=10111, Pre_N=7, Cur_Time=0.000683
Start: N=5, Current_CPU=1, Previous_CPU=101111, Pre_N=6, Cur_Time=0.000698
Start: N=4, Current_CPU=1, Previous_CPU=1011111, Pre_N=5, Cur_Time=0.000713
Start: N=3, Current_CPU=1, Previous_CPU=10111111, Pre_N=4, Cur_Time=0.000728
Start: N=2, Current_CPU=1, Previous_CPU=101111111, Pre_N=3, Cur_Time=0.000748
Start: N=1, Current_CPU=1, Previous_CPU=1011111111, Pre_N=2, Cur_Time=0.000761
End: N=1, Current_CPU=1, Previous_CPU=1011111111, Pre_N=2, Cur_Time=0.000770
Start: N=0, Current_CPU=1, Previous_CPU=1011111111, Pre_N=2, Cur_Time=0.000780
End: N=0, Current_CPU=1, Previous_CPU=1011111111, Pre_N=2, Cur_Time=0.000789
End: N=2, Current_CPU=1, Previous_CPU=101111111, Pre_N=3, Cur_Time=0.000797
Start: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=3, Cur_Time=0.000811
End: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=3, Cur_Time=0.000820
End: N=3, Current_CPU=1, Previous_CPU=10111111, Pre_N=4, Cur_Time=0.000840
Start: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=4, Cur_Time=0.000868
Start: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.000884
End: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.000892
Start: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.000901
End: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.000909
End: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=4, Cur_Time=0.000917
End: N=4, Current_CPU=1, Previous_CPU=1011111, Pre_N=5, Cur_Time=0.000930
Start: N=3, Current_CPU=1, Previous_CPU=1011111, Pre_N=5, Cur_Time=0.000944
Start: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.000958
Start: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.000974
End: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.000982
