Start: N=10, Current_CPU=0, Previous_CPU=0, Pre_N=-1, Cur_Time=0.000228
Start: N=9, Current_CPU=0, Previous_CPU=00, Pre_N=10, Cur_Time=0.000503
Start: N=8, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.000535
Start: N=7, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.000564
Start: N=6, Current_CPU=0, Previous_CPU=00000, Pre_N=7, Cur_Time=0.000579
Start: N=5, Current_CPU=0, Previous_CPU=000000, Pre_N=6, Cur_Time=0.000596
Start: N=4, Current_CPU=0, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.000611
Start: N=3, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.000633
Start: N=2, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.000650
Start: N=1, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.000667
End: N=1, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.000676
Start: N=0, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.000688
End: N=0, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.000698
End: N=2, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.000707
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.000723
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.000731
End: N=3, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.000740
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.000754
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.000769
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.000779
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.000787
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.000796
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.000805
End: N=4, Current_CPU=0, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.000820
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.000834
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.000851
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.000866
