Start: N=10, Current_CPU=0, Previous_CPU=0, Pre_N=-1, Cur_Time=0.000179
Start: N=8, Current_CPU=0, Previous_CPU=001, Pre_N=9, Cur_Time=0.000716
Start: N=6, Current_CPU=0, Previous_CPU=00101, Pre_N=7, Cur_Time=0.001378
Start: N=4, Current_CPU=0, Previous_CPU=0010101, Pre_N=5, Cur_Time=0.001951
Start: N=2, Current_CPU=0, Previous_CPU=001010101, Pre_N=3, Cur_Time=0.002555
End: N=2, Current_CPU=0, Previous_CPU=001010101, Pre_N=3, Cur_Time=0.003305
Start: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=3, Cur_Time=0.003330
End: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=3, Cur_Time=0.003342
Start: N=2, Current_CPU=0, Previous_CPU=00101010, Pre_N=4, Cur_Time=0.003372
End: N=2, Current_CPU=0, Previous_CPU=00101010, Pre_N=4, Cur_Time=0.003859
End: N=4, Current_CPU=0, Previous_CPU=0010101, Pre_N=5, Cur_Time=0.003876
Start: N=3, Current_CPU=0, Previous_CPU=0010101, Pre_N=5, Cur_Time=0.003894
Start: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.004163
End: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.004169
Start: N=0, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.004174
End: N=0, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.004179
Start: N=1, Current_CPU=0, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.004193
End: N=1, Current_CPU=0, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.004198
End: N=3, Current_CPU=0, Previous_CPU=0010101, Pre_N=5, Cur_Time=0.004488
Start: N=4, Current_CPU=0, Previous_CPU=001010, Pre_N=6, Cur_Time=0.004524
Start: N=2, Current_CPU=0, Previous_CPU=00101001, Pre_N=3, Cur_Time=0.004828
End: N=2, Current_CPU=0, Previous_CPU=00101001, Pre_N=3, Cur_Time=0.005576
Start: N=1, Current_CPU=0, Previous_CPU=00101001, Pre_N=3, Cur_Time=0.005594
End: N=1, Current_CPU=0, Previous_CPU=00101001, Pre_N=3, Cur_Time=0.005604
Start: N=2, Current_CPU=0, Previous_CPU=0010100, Pre_N=4, Cur_Time=0.005631
End: N=2, Current_CPU=0, Previous_CPU=0010100, Pre_N=4, Cur_Time=0.006122
End: N=4, Current_CPU=0, Previous_CPU=001010, Pre_N=6, Cur_Time=0.006142
End: N=6, Current_CPU=0, Previous_CPU=00101, Pre_N=7, Cur_Time=0.006158
Start: N=5, Current_CPU=0, Previous_CPU=00101, Pre_N=7, Cur_Time=0.006175
Start: N=3, Current_CPU=0, Previous_CPU=0010101, Pre_N=4, Cur_Time=0.006446
Start: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.007010
End: N=1, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.007016
Start: N=0, Current_CPU=0, Previous_CPU=001010101, Pre_N=2, Cur_Time=0.007022
