Start: N=9, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.000322
Start: N=7, Current_CPU=1, Previous_CPU=0010, Pre_N=8, Cur_Time=0.001084
Start: N=5, Current_CPU=1, Previous_CPU=001010, Pre_N=6, Cur_Time=0.001672
Start: N=3, Current_CPU=1, Previous_CPU=00101010, Pre_N=4, Cur_Time=0.002251
Start: N=1, Current_CPU=1, Previous_CPU=0010101010, Pre_N=2, Cur_Time=0.002869
End: N=1, Current_CPU=1, Previous_CPU=0010101010, Pre_N=2, Cur_Time=0.002876
Start: N=0, Current_CPU=1, Previous_CPU=0010101010, Pre_N=2, Cur_Time=0.002885
End: N=0, Current_CPU=1, Previous_CPU=0010101010, Pre_N=2, Cur_Time=0.002890
End: N=3, Current_CPU=1, Previous_CPU=00101010, Pre_N=4, Cur_Time=0.003353
Start: N=1, Current_CPU=1, Previous_CPU=001010100, Pre_N=2, Cur_Time=0.003382
End: N=1, Current_CPU=1, Previous_CPU=001010100, Pre_N=2, Cur_Time=0.003388
Start: N=0, Current_CPU=1, Previous_CPU=001010100, Pre_N=2, Cur_Time=0.003394
End: N=0, Current_CPU=1, Previous_CPU=001010100, Pre_N=2, Cur_Time=0.003398
Start: N=2, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.003906
End: N=2, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.004184
End: N=5, Current_CPU=1, Previous_CPU=001010, Pre_N=6, Cur_Time=0.004505
Start: N=3, Current_CPU=1, Previous_CPU=0010100, Pre_N=4, Cur_Time=0.004551
Start: N=1, Current_CPU=1, Previous_CPU=001010010, Pre_N=2, Cur_Time=0.005113
End: N=1, Current_CPU=1, Previous_CPU=001010010, Pre_N=2, Cur_Time=0.005120
Start: N=0, Current_CPU=1, Previous_CPU=001010010, Pre_N=2, Cur_Time=0.005125
End: N=0, Current_CPU=1, Previous_CPU=001010010, Pre_N=2, Cur_Time=0.005130
End: N=3, Current_CPU=1, Previous_CPU=0010100, Pre_N=4, Cur_Time=0.005614
Start: N=1, Current_CPU=1, Previous_CPU=00101000, Pre_N=2, Cur_Time=0.005642
End: N=1, Current_CPU=1, Previous_CPU=00101000, Pre_N=2, Cur_Time=0.005647
Start: N=0, Current_CPU=1, Previous_CPU=00101000, Pre_N=2, Cur_Time=0.005652
End: N=0, Current_CPU=1, Previous_CPU=00101000, Pre_N=2, Cur_Time=0.005656
Start: N=4, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.006185
Start: N=2, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.006721
End: N=2, Current_CPU=1, Previous_CPU=00101010, Pre_N=3, Cur_Time=0.007032
Start: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.007398
End: N=1, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.007406
Start: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.007412
End: N=0, Current_CPU=1, Previous_CPU=00101010, Pre_N=2, Cur_Time=0.007418
End: N=4, Current_CPU=1, Previous_CPU=001010, Pre_N=5, Cur_Time=0.007943
Start: N=2, Current_CPU=1, Previous_CPU=0010100, Pre_N=3, Cur_Time=0.007974
End: N=2, Current_CPU=1, Previous_CPU=0010100, Pre_N=3, Cur_Time=0.008383
End: N=7, Current_CPU=1, Previous_CPU=0010, Pre_N=8, Cur_Time=0.008701
Start: N=5, Current_CPU=1, Previous_CPU=00100, Pre_N=6, Cur_Time=0.008747
Start: N=3, Current_CPU=1, Previous_CPU=0010010, Pre_N=4, Cur_Time=0.009361
Start: N=1, Current_CPU=1, Previous_CPU=001001010, Pre_N=2, Cur_Time=0.009937
End: N=1, Current_CPU=1, Previous_CPU=001001010, Pre_N=2, Cur_Time=0.009944
Start: N=0, Current_CPU=1, Previous_CPU=001001010, Pre_N=2, Cur_Time=0.009950
End: N=0, Current_CPU=1, Previous_CPU=001001010, Pre_N=2, Cur_Time=0.009955
End: N=3, Current_CPU=1, Previous_CPU=0010010, Pre_N=4, Cur_Time=0.010425
Start: N=1, Current_CPU=1, Previous_CPU=00100100, Pre_N=2, Cur_Time=0.010459
End: N=1, Current_CPU=1, Previous_CPU=00100100, Pre_N=2, Cur_Time=0.010464
Start: N=0, Current_CPU=1, Previous_CPU=00100100, Pre_N=2, Cur_Time=0.010469
