Start: N=10, Current_CPU=0, Previous_CPU=0, Pre_N=-1, Cur_Time=0.000249
Start: N=9, Current_CPU=0, Previous_CPU=00, Pre_N=10, Cur_Time=0.000655
Start: N=8, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.000692
Start: N=7, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.000790
Start: N=6, Current_CPU=0, Previous_CPU=00000, Pre_N=7, Cur_Time=0.000808
Start: N=5, Current_CPU=0, Previous_CPU=000000, Pre_N=6, Cur_Time=0.000826
Start: N=4, Current_CPU=0, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.000866
Start: N=3, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.000903
Start: N=2, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.000911
Start: N=1, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.001073
End: N=1, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.001078
Start: N=0, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.001086
End: N=0, Current_CPU=0, Previous_CPU=0000000000, Pre_N=2, Cur_Time=0.001112
End: N=2, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.001122
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.001149
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.001164
End: N=3, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.001169
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.001190
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001199
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001216
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001221
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001236
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.001246
End: N=4, Current_CPU=0, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.001261
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.001282
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001301
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001321
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001326
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001340
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001346
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001361
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001380
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001390
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.001400
End: N=5, Current_CPU=0, Previous_CPU=000000, Pre_N=6, Cur_Time=0.001417
Start: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=6, Cur_Time=0.001434
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001452
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001470
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001489
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001499
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001510
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001515
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001529
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001548
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001553
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001580
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001613
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001632
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001637
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001652
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001656
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001669
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=6, Cur_Time=0.001688
End: N=6, Current_CPU=0, Previous_CPU=00000, Pre_N=7, Cur_Time=0.001706
Start: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=7, Cur_Time=0.001722
Start: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001757
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001775
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001793
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001813
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001819
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001832
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.001838
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001850
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001869
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.001885
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001890
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001907
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001915
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001937
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001942
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.001956
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.001966
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001979
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.001999
