Start: N=8, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.000750
Start: N=7, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.001061
Start: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.001106
Start: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.001139
Start: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.001158
Start: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.001182
Start: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.001211
Start: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.001231
End: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.001241
Start: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.001252
End: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.001267
End: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.001273
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.001291
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.001306
End: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.001312
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.001335
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001356
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001366
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001371
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001385
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.001395
End: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.001409
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.001426
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001443
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001461
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001475
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001480
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001495
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001505
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001524
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001534
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.001539
End: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.001561
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.001604
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.001623
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001647
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001665
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001674
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001679
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001692
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001697
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001714
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001727
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.001733
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.001740
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.001764
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.001779
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.001784
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.001799
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.001804
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.001828
End: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.001846
Start: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.001858
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.001879
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.001898
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001933
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001952
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001961
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001971
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.001985
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.001990
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002007
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002021
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002026
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002163
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002306
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002313
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002328
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002338
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002349
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002370
Start: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002388
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002407
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002427
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002432
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002447
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002452
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002466
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002487
End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002503
End: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002513
End: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.002534
End: N=7, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.002550
Start: N=6, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.002568
Start: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.002588
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002606
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002625
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002645
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002666
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002672
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002686
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002692
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002707
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002725
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002740
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002750
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002758
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002780
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002791
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002802
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002808
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002837
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002872
Start: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002918
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002927
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002945
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002959
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002964
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002980
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002993
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003022
End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003033
End: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.003046
End: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.003065
Start: N=4, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.003082
Start: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.003100
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003113
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003133
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003143
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003156
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003170
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003175
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003191
End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003231
End: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.003236
Start: N=2, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.003256
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=2, Cur_Time=0.003276
