Start: N=1, Current_CPU=1, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.000719
End: N=1, Current_CPU=1, Previous_CPU=000000000, Pre_N=3, Cur_Time=0.000747
Start: N=2, Current_CPU=1, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.000831
Start: N=1, Current_CPU=1, Previous_CPU=000000001, Pre_N=2, Cur_Time=0.000840
End: N=1, Current_CPU=1, Previous_CPU=000000001, Pre_N=2, Cur_Time=0.000844
Start: N=0, Current_CPU=1, Previous_CPU=000000001, Pre_N=2, Cur_Time=0.000849
End: N=0, Current_CPU=1, Previous_CPU=000000001, Pre_N=2, Cur_Time=0.000853
End: N=2, Current_CPU=1, Previous_CPU=00000000, Pre_N=4, Cur_Time=0.000858
Start: N=3, Current_CPU=1, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.000873
Start: N=2, Current_CPU=1, Previous_CPU=00000001, Pre_N=3, Cur_Time=0.000880
Start: N=1, Current_CPU=1, Previous_CPU=000000011, Pre_N=2, Cur_Time=0.000888
End: N=1, Current_CPU=1, Previous_CPU=000000011, Pre_N=2, Cur_Time=0.000892
Start: N=0, Current_CPU=1, Previous_CPU=000000011, Pre_N=2, Cur_Time=0.000896
End: N=0, Current_CPU=1, Previous_CPU=000000011, Pre_N=2, Cur_Time=0.000901
End: N=2, Current_CPU=1, Previous_CPU=00000001, Pre_N=3, Cur_Time=0.000905
Start: N=1, Current_CPU=1, Previous_CPU=00000001, Pre_N=3, Cur_Time=0.000913
End: N=1, Current_CPU=1, Previous_CPU=00000001, Pre_N=3, Cur_Time=0.000917
End: N=3, Current_CPU=1, Previous_CPU=0000000, Pre_N=5, Cur_Time=0.000922
Start: N=4, Current_CPU=1, Previous_CPU=000000, Pre_N=6, Cur_Time=0.000938
Start: N=3, Current_CPU=1, Previous_CPU=0000001, Pre_N=4, Cur_Time=0.000946
Start: N=2, Current_CPU=1, Previous_CPU=00000011, Pre_N=3, Cur_Time=0.000953
Start: N=1, Current_CPU=1, Previous_CPU=000000111, Pre_N=2, Cur_Time=0.000960
End: N=1, Current_CPU=1, Previous_CPU=000000111, Pre_N=2, Cur_Time=0.000964
Start: N=0, Current_CPU=1, Previous_CPU=000000111, Pre_N=2, Cur_Time=0.001104
End: N=0, Current_CPU=1, Previous_CPU=000000111, Pre_N=2, Cur_Time=0.001109
End: N=2, Current_CPU=1, Previous_CPU=00000011, Pre_N=3, Cur_Time=0.001114
Start: N=1, Current_CPU=1, Previous_CPU=00000011, Pre_N=3, Cur_Time=0.001121
End: N=1, Current_CPU=1, Previous_CPU=00000011, Pre_N=3, Cur_Time=0.001126
End: N=3, Current_CPU=1, Previous_CPU=0000001, Pre_N=4, Cur_Time=0.001130
Start: N=2, Current_CPU=1, Previous_CPU=0000001, Pre_N=4, Cur_Time=0.001137
Start: N=1, Current_CPU=1, Previous_CPU=00000011, Pre_N=2, Cur_Time=0.001145
End: N=1, Current_CPU=1, Previous_CPU=00000011, Pre_N=2, Cur_Time=0.001149
Start: N=0, Current_CPU=1, Previous_CPU=00000011, Pre_N=2, Cur_Time=0.001153
End: N=0, Current_CPU=1, Previous_CPU=00000011, Pre_N=2, Cur_Time=0.001157
End: N=2, Current_CPU=1, Previous_CPU=0000001, Pre_N=4, Cur_Time=0.001162
End: N=4, Current_CPU=1, Previous_CPU=000000, Pre_N=6, Cur_Time=0.001170
Start: N=5, Current_CPU=1, Previous_CPU=00000, Pre_N=7, Cur_Time=0.001267
Start: N=4, Current_CPU=1, Previous_CPU=000001, Pre_N=5, Cur_Time=0.001275
Start: N=3, Current_CPU=1, Previous_CPU=0000011, Pre_N=4, Cur_Time=0.001294
Start: N=2, Current_CPU=1, Previous_CPU=00000111, Pre_N=3, Cur_Time=0.001301
Start: N=1, Current_CPU=1, Previous_CPU=000001111, Pre_N=2, Cur_Time=0.001350
End: N=1, Current_CPU=1, Previous_CPU=000001111, Pre_N=2, Cur_Time=0.001358
Start: N=0, Current_CPU=1, Previous_CPU=000001111, Pre_N=2, Cur_Time=0.001366
End: N=0, Current_CPU=1, Previous_CPU=000001111, Pre_N=2, Cur_Time=0.001371
End: N=2, Current_CPU=1, Previous_CPU=00000111, Pre_N=3, Cur_Time=0.001376
Start: N=1, Current_CPU=1, Previous_CPU=00000111, Pre_N=3, Cur_Time=0.001383
End: N=1, Current_CPU=1, Previous_CPU=00000111, Pre_N=3, Cur_Time=0.001387
End: N=3, Current_CPU=1, Previous_CPU=0000011, Pre_N=4, Cur_Time=0.001391
Start: N=2, Current_CPU=1, Previous_CPU=0000011, Pre_N=4, Cur_Time=0.001398
Start: N=1, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001405
End: N=1, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001409
Start: N=0, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001413
End: N=0, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001418
End: N=2, Current_CPU=1, Previous_CPU=0000011, Pre_N=4, Cur_Time=0.001422
End: N=4, Current_CPU=1, Previous_CPU=000001, Pre_N=5, Cur_Time=0.001435
Start: N=3, Current_CPU=1, Previous_CPU=000001, Pre_N=5, Cur_Time=0.001521
Start: N=2, Current_CPU=1, Previous_CPU=0000011, Pre_N=3, Cur_Time=0.001530
Start: N=1, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001537
End: N=1, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001541
Start: N=0, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001545
End: N=0, Current_CPU=1, Previous_CPU=00000111, Pre_N=2, Cur_Time=0.001549
End: N=2, Current_CPU=1, Previous_CPU=0000011, Pre_N=3, Cur_Time=0.001554
Start: N=1, Current_CPU=1, Previous_CPU=0000011, Pre_N=3, Cur_Time=0.001561
End: N=1, Current_CPU=1, Previous_CPU=0000011, Pre_N=3, Cur_Time=0.001565
End: N=3, Current_CPU=1, Previous_CPU=000001, Pre_N=5, Cur_Time=0.001572
End: N=5, Current_CPU=1, Previous_CPU=00000, Pre_N=7, Cur_Time=0.001579
Start: N=6, Current_CPU=1, Previous_CPU=0000, Pre_N=8, Cur_Time=0.001593
Start: N=5, Current_CPU=1, Previous_CPU=00001, Pre_N=6, Cur_Time=0.001601
Start: N=4, Current_CPU=1, Previous_CPU=000011, Pre_N=5, Cur_Time=0.001608
Start: N=3, Current_CPU=1, Previous_CPU=0000111, Pre_N=4, Cur_Time=0.001615
Start: N=2, Current_CPU=1, Previous_CPU=00001111, Pre_N=3, Cur_Time=0.001722
Start: N=1, Current_CPU=1, Previous_CPU=000011111, Pre_N=2, Cur_Time=0.001735
End: N=1, Current_CPU=1, Previous_CPU=000011111, Pre_N=2, Cur_Time=0.001744
Start: N=0, Current_CPU=1, Previous_CPU=000011111, Pre_N=2, Cur_Time=0.001752
End: N=0, Current_CPU=1, Previous_CPU=000011111, Pre_N=2, Cur_Time=0.001758
End: N=2, Current_CPU=1, Previous_CPU=00001111, Pre_N=3, Cur_Time=0.001763
Start: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=3, Cur_Time=0.001770
End: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=3, Cur_Time=0.001786
End: N=3, Current_CPU=1, Previous_CPU=0000111, Pre_N=4, Cur_Time=0.001792
Start: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=4, Cur_Time=0.001799
Start: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001807
End: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001811
Start: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001815
End: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001819
End: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=4, Cur_Time=0.001824
End: N=4, Current_CPU=1, Previous_CPU=000011, Pre_N=5, Cur_Time=0.001831
Start: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=5, Cur_Time=0.001838
Start: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001845
Start: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001852
End: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001856
Start: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001860
End: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001865
End: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001869
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001877
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001882
End: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=5, Cur_Time=0.001887
End: N=5, Current_CPU=1, Previous_CPU=00001, Pre_N=6, Cur_Time=0.001895
Start: N=4, Current_CPU=1, Previous_CPU=00001, Pre_N=6, Cur_Time=0.001902
Start: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.001910
Start: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001917
Start: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001924
End: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001929
Start: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.002111
End: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.002115
End: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.002149
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.002160
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.002165
End: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.002171
Start: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.002178
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.002191
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.002197
Start: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.002201
End: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.002206
End: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.002211
End: N=4, Current_CPU=1, Previous_CPU=00001, Pre_N=6, Cur_Time=0.002219
End: N=6, Current_CPU=1, Previous_CPU=0000, Pre_N=8, Cur_Time=0.002228
Start: N=7, Current_CPU=1, Previous_CPU=000, Pre_N=9, Cur_Time=0.002348
Start: N=6, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.002356
Start: N=5, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.002363
Start: N=4, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002370
Start: N=3, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002407
Start: N=2, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002422
Start: N=1, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002436
End: N=1, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002444
Start: N=0, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002453
End: N=0, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002457
