Start: N=3, Current_CPU=1, Previous_CPU=00000, Pre_N=4, Cur_Time=0.000749
Start: N=1, Current_CPU=1, Previous_CPU=000001, Pre_N=3, Cur_Time=0.000792
End: N=1, Current_CPU=1, Previous_CPU=000001, Pre_N=3, Cur_Time=0.000850
Start: N=2, Current_CPU=1, Previous_CPU=000001, Pre_N=3, Cur_Time=0.000861
Start: N=0, Current_CPU=1, Previous_CPU=0000011, Pre_N=2, Cur_Time=0.000869
End: N=0, Current_CPU=1, Previous_CPU=0000011, Pre_N=2, Cur_Time=0.000877
Start: N=1, Current_CPU=1, Previous_CPU=0000011, Pre_N=2, Cur_Time=0.000882
End: N=1, Current_CPU=1, Previous_CPU=0000011, Pre_N=2, Cur_Time=0.000887
End: N=2, Current_CPU=1, Previous_CPU=000001, Pre_N=3, Cur_Time=0.000894
End: N=3, Current_CPU=1, Previous_CPU=00000, Pre_N=4, Cur_Time=0.000903
Start: N=5, Current_CPU=1, Previous_CPU=0000, Pre_N=6, Cur_Time=0.000976
Start: N=3, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.000986
Start: N=1, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.000994
End: N=1, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.001014
Start: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.001019
Start: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001040
End: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001044
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001048
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001052
End: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.001057
End: N=3, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.001064
Start: N=4, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.001071
Start: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.001078
Start: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001085
End: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001088
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001092
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.001096
End: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.001100
Start: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.001107
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001113
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001117
Start: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001121
Start: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001128
End: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001132
Start: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001136
End: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.001140
End: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.001144
End: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.001151
End: N=4, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.001171
End: N=5, Current_CPU=1, Previous_CPU=0000, Pre_N=6, Cur_Time=0.001379
Start: N=7, Current_CPU=1, Previous_CPU=000, Pre_N=8, Cur_Time=0.001408
Start: N=5, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.001416
Start: N=3, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.001424
Start: N=1, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.001431
End: N=1, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.001463
Start: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.001471
Start: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001479
End: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001483
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001487
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001491
End: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.001496
End: N=3, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.001503
Start: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.001511
Start: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.001518
Start: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001525
End: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001529
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.001607
